probe,symbol,locus.link,fold.change,EntrezGene.ID,probe.name,Alignment.score,Length.of.probe,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
203504_s_at,ABCA1,19,0.331155,19,203504_s_at,11,11,ABCA1,ABCA1,9q31.1,ABC-1|ABC1|CERP|FLJ14958|HDLDT1|TGD,"ATP-binding cassette, sub-family A (ABC1), member 1"
205179_s_at,ADAM8,101,5.65848,101,205179_s_at,11,11,ADAM8,ADAM8,10q26.3,CD156|MGC134985|MS2,ADAM metallopeptidase domain 8
205180_s_at,ADAM8,101,3.847525,101,205180_s_at,11,11,ADAM8,ADAM8,10q26.3,CD156|MGC134985|MS2,ADAM metallopeptidase domain 8
219935_at,ADAMTS5,11096,0.205994,11096,219935_at,11,11,ADAMTS5,ADAMTS5,21q21.3,ADAMTS11|ADMP-2|FLJ36738,"ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)"
206170_at,ADRB2,154,3.487437,154,206170_at,10,11,ADRB2,ADRB2,5q31-q32,ADRB2R|ADRBR|B2AR|BAR|BETA2AR,"adrenergic, beta-2-, receptor, surface"
231067_s_at,AKAP12,9590,5.039827,NA,NA,NA,NA,NA,NA,NA,NA,NA
223333_s_at,ANGPTL4,51129,10.86426,51129,223333_s_at,11,11,ANGPTL4,ANGPTL4,19p13.3,ANGPTL2|ARP4|FIAF|HFARP|NL2|PGAR|pp1158,angiopoietin-like 4
221009_s_at,ANGPTL4,51129,6.609342,51129,221009_s_at,11,11,ANGPTL4,ANGPTL4,19p13.3,ANGPTL2|ARP4|FIAF|HFARP|NL2|PGAR|pp1158,angiopoietin-like 4
203946_s_at,ARG2,384,3.402364,384,203946_s_at,11,11,ARG2,ARG2,14q24.1-q24.3,NA,"arginase, type II"
203263_s_at,ARHGEF9,23229,0.322799,23229,203263_s_at,11,11,ARHGEF9,ARHGEF9,Xq11.1,COLLYBISTIN|HPEM-2|KIAA0424|PEM-2|PEM2,Cdc42 guanine nucleotide exchange factor (GEF) 9
220658_s_at,ARNTL2,56938,1.746339,56938,220658_s_at,11,11,ARNTL2,ARNTL2,12p12.2-p11.2,BMAL2|CLIF|MGC149671|MGC149672|MOP9|PASD9,aryl hydrocarbon receptor nuclear translocator-like 2
209281_s_at,ATP2B1,490,3.679947,490,209281_s_at,11,11,ATP2B1,ATP2B1,12q21.3,PMCA1,"ATPase, Ca++ transporting, plasma membrane 1"
212930_at,ATP2B1,490,3.472879,490,212930_at,11,11,ATP2B1,ATP2B1,12q21.3,PMCA1,"ATPase, Ca++ transporting, plasma membrane 1"
225612_s_at,B3GNT5,84002,5.623739,84002,225612_s_at,11,11,B3GNT5,B3GNT5,3q28,B3GN-T5|beta3Gn-T5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
1554835_a_at,B3GNT5,84002,5.377894,84002,1554835_a_at,11,11,B3GNT5,B3GNT5,3q28,B3GN-T5|beta3Gn-T5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
228498_at,B4GALT1,2683,3.201531,NA,NA,NA,NA,NA,NA,NA,NA,NA
208002_s_at,BACH,11332,2.18061,11332,208002_s_at,11,11,ACOT7,ACOT7,1p36.31-p36.11,ACH1|ACT|BACH|CTE-II|LACH|LACH1|MGC1126|hBACH,acyl-CoA thioesterase 7
203140_at,BCL6,604,0.28988,604,203140_at,9,11,BCL6,BCL6,3q27,BCL5|BCL6A|LAZ3|ZBTB27|ZNF51,B-cell CLL/lymphoma 6 (zinc finger protein 51)
209373_at,BENE,7851,2.851526,7851,209373_at,10,11,MALL,MALL,2q13,BENE|MGC4419,"mal, T-cell differentiation protein-like"
205289_at,BMP2,650,14.64187,650,205289_at,11,11,BMP2,BMP2,20p12,BMP2A,bone morphogenetic protein 2
205290_s_at,BMP2,650,22.15398,650,205290_s_at,11,11,BMP2,BMP2,20p12,BMP2A,bone morphogenetic protein 2
219563_at,C14orf139,79686,5.029963,NA,NA,NA,NA,NA,NA,NA,NA,NA
1558378_a_at,C14orf78,113146,0.28177,NA,NA,NA,NA,NA,NA,NA,NA,NA
60474_at,C20orf42,55612,7.93008,55612,60474_at,15,16,C20orf42,C20orf42,20p12.3,DTGCU2|FLJ20116|FLJ23423|KIND1|URP1,chromosome 20 open reading frame 42
218796_at,C20orf42,55612,11.77627,55612,218796_at,11,11,C20orf42,C20orf42,20p12.3,DTGCU2|FLJ20116|FLJ23423|KIND1|URP1,chromosome 20 open reading frame 42
229545_at,C20orf42,55612,7.060253,55612,229545_at,9,11,C20orf42,C20orf42,20p12.3,DTGCU2|FLJ20116|FLJ23423|KIND1|URP1,chromosome 20 open reading frame 42
1552575_a_at,C6orf141,135398,3.321485,135398,1552575_a_at,11,11,C6orf141,C6orf141,6p12.3,MGC46457,chromosome 6 open reading frame 141
202241_at,C8FW,10221,3.950119,10221,202241_at,11,11,TRIB1,TRIB1,8q24.13,C8FW|GIG2|SKIP1,tribbles homolog 1 (Drosophila)
207243_s_at,CALM2,805,2.651816,805,207243_s_at,11,11,CALM2,CALM2,2p21,CAMII|PHKD|PHKD2,"calmodulin 2 (phosphorylase kinase, delta)"
214845_s_at,CALU,813,3.082181,813,214845_s_at,11,11,CALU,CALU,7q32,FLJ90608,calumenin
200756_x_at,CALU,813,2.325673,813,200756_x_at,11,11,CALU,CALU,7q32,FLJ90608,calumenin
227364_at,CAPZA1,829,3.4526,NA,NA,NA,NA,NA,NA,NA,NA,NA
206011_at,CASP1,834,0.410289,NA,NA,NA,NA,NA,NA,NA,NA,NA
226032_at,CASP2,do835,0.527375,835,226032_at,11,11,CASP2,CASP2,7q34-q35,CASP-2|ICH-1L|ICH-1L/1S|ICH1|NEDD2,"caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)"
205476_at,CCL20,6364,61.82525,6364,205476_at,11,11,CCL20,CCL20,2q33-q37,CKb4|LARC|MIP-3a|MIP3A|SCYA20|ST38,chemokine (C-C motif) ligand 20
205899_at,CCNA1,8900,3.954344,8900,205899_at,11,11,CCNA1,CCNA1,13q12.3-q13,NA,cyclin A1
241495_at,CCNL1,57018,0.237369,NA,NA,NA,NA,NA,NA,NA,NA,NA
218451_at,CDCP1,64866,4.161304,64866,218451_at,11,11,CDCP1,CDCP1,3p21.31,CD318|SIMA135|TRASK,CUB domain containing protein 1
226372_at,CHST11,50515,4.013263,NA,NA,NA,NA,NA,NA,NA,NA,NA
219500_at,CLC,23529,5.207404,23529,219500_at,11,11,CLCF1,CLCF1,11q13.3,BSF3|CISS2|CLC|NNT1|NR6,cardiotrophin-like cytokine factor 1
230603_at,COL27A1,85301,0.209111,85301,230603_at,11,11,COL27A1,COL27A1,9q32,FLJ11895|KIAA1870|MGC11337|RP11-82I1.1,"collagen, type XXVII, alpha 1"
208960_s_at,COPEB,1316,3.142782,1316,208960_s_at,11,11,KLF6,KLF6,10p15,BCD1|COPEB|CPBP|DKFZp686N0199|GBF|PAC1|ST12|ZF9,Kruppel-like factor 6
208961_s_at,COPEB,1316,3.824948,1316,208961_s_at,9,11,KLF6,KLF6,10p15,BCD1|COPEB|CPBP|DKFZp686N0199|GBF|PAC1|ST12|ZF9,Kruppel-like factor 6
207945_s_at,CSNK1D,1453,1.981158,1453,207945_s_at,11,11,CSNK1D,CSNK1D,17q25,HCKID,"casein kinase 1, delta"
225756_at,CSNK1E,1454,3.410265,1454,225756_at,11,11,CSNK1E,CSNK1E,22q13.1,HCKIE|MGC10398,"casein kinase 1, epsilon"
202332_at,CSNK1E,1454,2.508583,1454,202332_at,11,11,CSNK1E,CSNK1E,22q13.1,HCKIE|MGC10398,"casein kinase 1, epsilon"
222265_at,CTEN,84951,2.949865,84951,222265_at,11,11,TNS4,TNS4,17q21.2,CTEN|FLJ14950|PP14434,tensin 4
204470_at,CXCL1,2919,5.619592,2919,204470_at,11,11,CXCL1,CXCL1,4q21,GRO1|GROa|MGSA|MGSA alpha|MGSA-a|NAP-3|SCYB1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"
209774_x_at,CXCL2,2920,8.730503,2920,209774_x_at,10,11,CXCL2,CXCL2,4q21,CINC-2a|GRO2|GROb|MGSA beta|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2,chemokine (C-X-C motif) ligand 2
207850_at,CXCL3,2921,29.84267,2921,207850_at,9,11,CXCL3,CXCL3,4q21,CINC-2b|GRO3|GROg|MGSA gamma|MIP-2b|MIP2B|SCYB3,chemokine (C-X-C motif) ligand 3
215101_s_at,CXCL5,6374,6.952676,6374,215101_s_at,11,11,CXCL5,CXCL5,4q12-q13,ENA-78|SCYB5,chemokine (C-X-C motif) ligand 5
202436_s_at,CYP1B1,1545,0.328668,1545,202436_s_at,11,11,CYP1B1,CYP1B1,2p21,CP1B|GLC3A,"cytochrome P450, family 1, subfamily B, polypeptide 1"
202435_s_at,CYP1B1,1545,0.20113,1545,202435_s_at,11,11,CYP1B1,CYP1B1,2p21,CP1B|GLC3A,"cytochrome P450, family 1, subfamily B, polypeptide 1"
205676_at,CYP27B1,1594,3.199695,1594,205676_at,11,11,CYP27B1,CYP27B1,12q13.1-q13.3,CP2B|CYP1|CYP1alpha|CYP27B|P450c1|PDDR|VDD1|VDDR|VDDRI|VDR,"cytochrome P450, family 27, subfamily B, polypeptide 1"
227109_at,CYP2R1,120227,0.342858,120227,227109_at,11,11,CYP2R1,CYP2R1,11p15.2,MGC4663,"cytochrome P450, family 2, subfamily R, polypeptide 1"
201925_s_at,DAF,1604,7.269209,1604,201925_s_at,11,11,CD55,CD55,1q32,CR|DAF|TC,"CD55 molecule, decay accelerating factor for complement (Cromer blood group)"
201926_s_at,DAF,1604,4.862087,1604,201926_s_at,11,11,CD55,CD55,1q32,CR|DAF|TC,"CD55 molecule, decay accelerating factor for complement (Cromer blood group)"
1555950_a_at,DAF,1604,4.350231,1604,1555950_a_at,11,11,CD55,CD55,1q32,CR|DAF|TC,"CD55 molecule, decay accelerating factor for complement (Cromer blood group)"
208151_x_at,DDX17,10521,0.215284,10521,208151_x_at,11,11,DDX17,DDX17,22q13.1,DKFZp761H2016|P72|RH70,DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
208719_s_at,DDX17,10521,0.191949,10521,208719_s_at,11,11,DDX17,DDX17,22q13.1,DKFZp761H2016|P72|RH70,DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
204420_at,DIPA,11007,9.954048,8061,204420_at,11,11,FOSL1,FOSL1,11q13,FRA1|fra-1,FOS-like antigen 1
235263_at,DKFZP434A0131,54441,0.466245,54441,235263_at,10,11,DKFZP434A0131,NA,7q11.23-q21.1,MGC40269,DKFZp434A0131 protein
224215_s_at,DLL1,28514,0.277978,28514,224215_s_at,11,11,DLL1,DLL1,6q27,DELTA1|Delta,delta-like 1 (Drosophila)
215210_s_at,DLST,1743,2.504691,1743,215210_s_at,11,11,DLST,DLST,14q24.3,DLTS,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
204720_s_at,DNAJC6,9829,0.307829,9829,204720_s_at,11,11,DNAJC6,DNAJC6,1pter-q31.3,DJC6|KIAA0473|MGC129914|MGC129915|MGC48436,"DnaJ (Hsp40) homolog, subfamily C, member 6"
38037_at,DTR,1839,20.81494,1839,38037_at,15,16,HBEGF,HBEGF,5q23,DTR|DTS|DTSF|HEGFL,heparin-binding EGF-like growth factor
203821_at,DTR,1839,17.02068,1839,203821_at,11,11,HBEGF,HBEGF,5q23,DTR|DTS|DTSF|HEGFL,heparin-binding EGF-like growth factor
201041_s_at,DUSP1,1843,21.29323,1843,201041_s_at,11,11,DUSP1,DUSP1,5q34,CL100|HVH1|MKP-1|PTPN10,dual specificity phosphatase 1
201044_x_at,DUSP1,1843,45.49336,1843,201044_x_at,11,11,DUSP1,DUSP1,5q34,CL100|HVH1|MKP-1|PTPN10,dual specificity phosphatase 1
204014_at,DUSP4,1846,4.902013,1846,204014_at,11,11,DUSP4,DUSP4,8p12-p11,HVH2|MKP-2|MKP2|TYP,dual specificity phosphatase 4
204015_s_at,DUSP4,1846,3.14847,1846,204015_s_at,11,11,DUSP4,DUSP4,8p12-p11,HVH2|MKP-2|MKP2|TYP,dual specificity phosphatase 4
209457_at,DUSP5,1847,7.533075,1847,209457_at,11,11,DUSP5,DUSP5,10q25,DUSP|HVH3,dual specificity phosphatase 5
208891_at,DUSP6,1848,7.620052,1848,208891_at,11,11,DUSP6,DUSP6,12q22-q23,MKP3|PYST1,dual specificity phosphatase 6
208893_s_at,DUSP6,1848,8.643688,1848,208893_s_at,11,11,DUSP6,DUSP6,12q22-q23,MKP3|PYST1,dual specificity phosphatase 6
208892_s_at,DUSP6,1848,5.352137,1848,208892_s_at,11,11,DUSP6,DUSP6,12q22-q23,MKP3|PYST1,dual specificity phosphatase 6
206722_s_at,EDG4,9170,2.284867,9170,206722_s_at,11,11,EDG4,EDG4,19p12,EDG-4|LPA2|LPAR2,"endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4"
202711_at,EFNB1,1947,3.506378,1947,202711_at,8,11,EFNB1,EFNB1,Xq12,CFND|CFNS|EFL3|EPLG2|Elk-L|LERK2|MGC8782,ephrin-B1
227404_s_at,EGR1,1958,5.17121,NA,NA,NA,NA,NA,NA,NA,NA,NA
201694_s_at,EGR1,1958,3.14462,1958,201694_s_at,11,11,EGR1,EGR1,5q31.1,AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225,early growth response 1
209039_x_at,EHD1,10938,2.571908,10938,209039_x_at,8,11,EHD1,EHD1,11q13,FLJ42622|FLJ44618|H-PAST|HPAST1|PAST|PAST1,EH-domain containing 1
221773_at,ELK3,2004,4.256937,NA,NA,NA,NA,NA,NA,NA,NA,NA
203499_at,EPHA2,1969,7.32631,1969,203499_at,11,11,EPHA2,EPHA2,1p36,ECK,EPH receptor A2
205767_at,EREG,2069,13.64925,2069,205767_at,10,11,EREG,EREG,4q13.3,ER,epiregulin
202081_at,ETR101,9592,4.266997,9592,202081_at,9,11,IER2,IER2,19p13.13,ETR101|MGC111472|MGC15265,immediate early response 2
210638_s_at,FBXO9,26268,0.449949,26268,210638_s_at,11,11,FBXO9,FBXO9,6p12.3-p11.2,DKFZp434C0118|FBX9|KIAA0936|NY-REN-57|VCIA1|dJ341E18.2,F-box protein 9
203639_s_at,FGFR2,cr2263,0.295012,2263,203639_s_at,11,11,FGFR2,FGFR2,10q26,BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25,"fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)"
217943_s_at,FLJ10350,55700,2.504325,55700,217943_s_at,11,11,RPRC1,RPRC1,1p34.3,FLJ10350|MGC117315|PARCC1,arginine/proline rich coiled-coil 1
229676_at,FLJ10486,55149,3.090418,NA,NA,NA,NA,NA,NA,NA,NA,NA
219235_s_at,FLJ13171,65979,0.532749,65979,219235_s_at,11,11,PHACTR4,PHACTR4,1p35.3,DKFZp686L07205|FLJ13171|MGC20618|MGC34186|RP11-442N24__A.1,phosphatase and actin regulator 4
219388_at,FLJ13782,79977,0.438553,79977,219388_at,11,11,GRHL2,GRHL2,8q22.3,BOM|DFNA28|FLJ11172|FLJ13782|MGC149294|MGC149295|TFCP2L3,grainyhead-like 2 (Drosophila)
227180_at,FLJ23563,79993,7.367114,79993,227180_at,11,11,ELOVL7,ELOVL7,5q12.1,FLJ23563,"ELOVL family member 7, elongation of long chain fatty acids (yeast)"
238063_at,FLJ32028,201799,3.592296,201799,238063_at,10,11,TMEM154,TMEM154,4q31.3,FLJ32028,transmembrane protein 154
235390_at,FLJ36754,285672,2.987093,285672,235390_at,11,11,P18SRP,NA,5q12.3,FLJ36754|MGC131910|MGC150548|MGC150549,P18SRP protein
1553581_s_at,FLJ36754,285672,4.205241,285672,1553581_s_at,11,11,P18SRP,NA,5q12.3,FLJ36754|MGC131910|MGC150548|MGC150549,P18SRP protein
230769_at,FLJ37099,163259,2.603324,NA,NA,NA,NA,NA,NA,NA,NA,NA
226908_at,FLJ90440,121227,0.171318,121227,226908_at,11,11,LRIG3,LRIG3,12q14.1,FLJ26573|FLJ90440|KIAA3016,leucine-rich repeats and immunoglobulin-like domains 3
1560017_at,FLJ90492,160418,0.089432,160418,1560017_at,11,11,TMTC3,TMTC3,12q21.32,DKFZp686C0968|DKFZp686M1969|DKFZp686O22167|DKFZp686O2342|FLJ90492|SMILE,transmembrane and tetratricopeptide repeat containing 3
208614_s_at,FLNB,2317,2.898411,2317,208614_s_at,11,11,FLNB,FLNB,3p14.3,ABP-278|AOI|DKFZp686A1668|DKFZp686O033|FH1|FLN1L|LRS1|SCT|TABP|TAP|filamin B,"filamin B, beta (actin binding protein 278)"
208613_s_at,FLNB,2317,3.075063,2317,208613_s_at,11,11,FLNB,FLNB,3p14.3,ABP-278|AOI|DKFZp686A1668|DKFZp686O033|FH1|FLN1L|LRS1|SCT|TABP|TAP|filamin B,"filamin B, beta (actin binding protein 278)"
219250_s_at,FLRT3,23767,2.182937,23767,219250_s_at,11,11,FLRT3,FLRT3,20p11,NA,fibronectin leucine rich transmembrane protein 3
